High,Low,Open,Close,Volume,Adj Close,Ticker
165.4199981689453,162.42999267578125,163.05999755859375,165.1199951171875,94869100,165.1199951171875,AAPL
166.60000610351562,161.97000122070312,164.6999969482422,163.1999969482422,83474400,163.1999969482422,AAPL
167.36000061035156,162.9499969482422,164.38999938964844,166.55999755859375,79724800,166.55999755859375,AAPL
168.91000366210938,165.5500030517578,168.47000122070312,166.22999572753906,76678400,166.22999572753906,AAPL
165.5500030517578,162.10000610351562,164.49000549316406,163.1699981689453,83737200,163.1699981689453,AAPL
165.02000427246094,159.0399932861328,163.36000061035156,159.3000030517578,96418800,159.3000030517578,AAPL
162.8800048828125,155.8000030517578,158.82000732421875,157.44000244140625,131148300,157.44000244140625,AAPL
163.41000366210938,159.41000366210938,161.47999572753906,162.9499969482422,91454900,162.9499969482422,AAPL
160.38999938964844,155.97999572753906,160.1999969482422,158.52000427246094,105342000,158.52000427246094,AAPL
159.27999877929688,154.5,158.92999267578125,154.72999572753906,96836300,154.72999572753906,AAPL
154.1199951171875,150.10000610351562,151.4499969482422,150.6199951171875,108732100,150.6199951171875,AAPL
155.57000732421875,150.3800048828125,150.89999389648438,155.08999633789062,92964300,155.08999633789062,AAPL
160.0,154.4600067138672,157.0500030517578,159.58999633789062,102300200,159.58999633789062,AAPL
161.0,157.6300048828125,158.61000061035156,160.6199951171875,75615400,160.6199951171875,AAPL
164.47999572753906,159.75999450683594,160.50999450683594,163.97999572753906,123351200,163.97999572753906,AAPL
166.35000610351562,163.00999450683594,163.50999450683594,165.3800048828125,95811400,165.3800048828125,AAPL
169.4199981689453,164.91000366210938,165.50999450683594,168.82000732421875,81532000,168.82000732421875,AAPL
172.63999938964844,167.64999389648438,167.99000549316406,170.2100067138672,98062700,170.2100067138672,AAPL
174.13999938964844,170.2100067138672,171.05999755859375,174.07000732421875,90131400,174.07000732421875,AAPL
175.27999877929688,172.75,173.8800048828125,174.72000122070312,80470700,174.72000122070312,AAPL
175.27999877929688,172.75,173.8800048828125,174.72000122070312,80546156,174.72000122070312,AAPL
